Part,Value,Device,Package,Description
.,FFC12_11PIN_1MM,FFC12_11PIN_1MM,CON-SMT-FFCFPC_52207-1185,
BEAD,120,フェライトビーズ,603,https://akizukidenshi.com/catalog/g/gP-06983/
C1,0.1uF,0.1UF-0603-25V-5%,603,0.1µF ceramic capacitors
C2,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C3,0.1uF,0.1UF-0603-25V-5%,603,0.1µF ceramic capacitors
C4,0.1uF,0.1UF-0603-100V-10%,603,0.1µF ceramic capacitors
C5,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C6,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C7,0.1uF,0.1UF-0603-25V-5%,603,0.1µF ceramic capacitors
C8,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C9,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C10,0.1UF,0.1UF_1608,1608,
C11,0.1uF,0.1UF-0603-100V-10%,603,0.1µF ceramic capacitors
C12,0.1uF,0.1UF-0603-100V-10%,603,0.1µF ceramic capacitors
C13,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C14,4.7uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors
C15,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors
C16,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C17,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C18,0.1UF,0.1UF_1608,1608,
C19,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C20,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C21,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C22,22UF-1210,22UF-1210-16V-20%,1210,22µF ceramic capacitors
C23,0.1uF,0.1UF-0603-100V-10%,603,0.1µF ceramic capacitors
C34,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors
D1,WHITE,LED-WHITE0603,LED-0603,White SMD LED
D2,RED,LED-RED0603,LED-0603,Red SMD LED
D3,WHITE,LED-WHITE0603,LED-0603,White SMD LED
D6,WHITE,LED-WHITE0603,LED-0603,White SMD LED
JP2,JUMPER-SMT_3_1-NC_TRACE_SILK,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,Normally closed trace jumper (1 of 2 connections)
JP3,,PINHD-1X3CB,1X03-CLEANBIG,PIN HEADER
NUCLEO_MAIN,F446RET6,STM32F446RET6,STM32F446RET6,
Q2,SIZ240DT-T1-GE3,SIZ240DT-T1-GE3,TRANS_SIZ240DT-T1-GE3,Check availability
Q3,SIZ240DT-T1-GE3,SIZ240DT-T1-GE3,TRANS_SIZ240DT-T1-GE3,Check availability
Q4,SIZ240DT-T1-GE3,SIZ240DT-T1-GE3,TRANS_SIZ240DT-T1-GE3,Check availability
R1,50,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R2,50,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R3,50,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R4,50,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R5,50,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R6,50,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R7,50k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R8,33k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R9,33k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R10,,SMS-REF,SMS-REF,SMD SHUNT RESISTOR
R11,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R12,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R13,,SMS-REF,SMS-REF,SMD SHUNT RESISTOR
R14,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R15,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R16,33k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R17,33k,1KOHM-0603-1/10W-1%,603,1kΩ resistor
R18,10k,RESISTOR-0603-1/10W-1%,R0603,Resistor
R19,10k,2.0KOHM-0603-1/10W-5%,603,2kΩ resistor
R20,1k,RESISTOR-0603-1/10W-1%,R0603,Resistor
R21,10k,RESISTOR-0603-1/10W-1%,R0603,Resistor
R23,1k,2.0KOHM-0603-1/10W-5%,603,2kΩ resistor
R27,8k,2.0KOHM-0603-1/10W-5%,603,2kΩ resistor
REG,AP7333,AP7333,SOT95P237X112-3N,
S1,SKRPACE010,SKRPACE010,SW_SKRPACE010,Switch Tactile N.O. SPST Button J-Bend 0.05A 16VDC 2.55N SMD Automotive T/R
U$1,PIN,PIN,3MM,
U$2,1X7,1X7,1X7,
U$3,PIN,PIN,3MM,
U$4,PIN,PIN,3MM,
U$5,PIN,PIN,3MM,
U1,QFN50P400X400X100-25NDRV8300DRGER,QFN50P400X400X100-25NDRV8300DRGER,QFN50P400X400X100-25N,DRV8300
U2,AS5048A-HTSP-500,AS5048A-HTSP-500,SOP65P640X120-14N,AS5048B Series 360° 3.3 / 5 V 14 bit Magnetic Rotary Encoder - TSSOP-14 Check availability
U3,MCP2562-E/SN,MCP2562-E/SN,SOIC127P600X175-8N,MCP2562 Series 5 V Surface Mount High-Speed CAN Transceiver - SOIC-8 Check availability
U4,SOP80P620X125-8N,SOP80P620X125-8N,SOP80P620X125-8N,
X2,JST-XH-06-PIN-LONG-PAD,JST-XH-06-PIN-LONG-PAD,JST-XH-06-PACKAGE-LONG-PAD,JST XH Connector 2 Pin