Comment,Designator,Footprint,LCSC Part #
,R10 R13,SMS-REF,
,SJ1 SJ2,SJ,
MLB1608-470(f),BEAD,603,
CC0603KRX7R9BB104,C10 C18,1608,
CC0603KRX7R9BB104,C1 C3 C4 C7 C11 C12 C15 C23 C25,603,
CR-03FL7----1K,R20,R0603,
CR-03FL7----1K,R23,603,
YC124-JR-071KL,R24,YC124-JR-071KL,
4.7uF,C14,603,
10k,R27,R0603,
10k,R18,R0603,
RMS06JT103,R19,603,
RMS06JT103,R21,R0603,
"CL31A226KAHNNNE
",C8 C9 C16 C24,1210,
CR0603FA51R0G,R1 R2 R3 R4 R5 R6,603,
50k,R7,603,
AP7333-33SAG-7,REG,SOT95P237X112-3N,
STM32F446RE,NUCLEO_MAIN,STM32F446RET6,
FFC12_11PIN_1MM,.,CON-SMT-FFCFPC_52207-1185,
,,,
XL-3528RGBW-HM,U$1,3528LSEKJ3ZGKQBKS,
MCP2562-E/SN,U3,SOIC127P600X175-8N,
DRV8300DRGER,U1,QFN50P400X400X100-25N,
SIZ240DT-T1-GE3,Q2 Q3 Q4,TRANS_SIZ240DT-T1-GE3,
SKRPACE010,S1,SW_SKRPACE010,
WHITE,D3 D6,LED-0603,